,location,area_m2,restrooms,bedrooms,price_usd,total_rooms,price_per_sq
0,"Casa en Venta Los Serrados
, Toluca De Lerdo, México",105,2,3,130000,5,1238.095238095238
1,"Casa en Venta Tierra Y Libertad #114
, Toluca De Lerdo, México",115,2,3,50800,5,441.7391304347826
2,"Casa en Venta Toluca De Lerdo, México",700,3,3,325000,6,464.2857142857143
3,"Casa en Venta Granjas, Toluca De Lerdo",390,3,4,275000,7,705.1282051282051
4,"Casa en Venta Toluca De Lerdo, México",300,4,3,215000,7,716.6666666666666
5,"Casa en Venta Toluca De Lerdo, México",250,2,3,125000,5,500
6,"Casa en Venta Toluca De Lerdo, México",600,4,4,1000000,8,1666.6666666666667
8,"Casa en Venta Toluca De Lerdo, México",300,4,3,210000,7,700
11,"Casa en Venta Venta De Casa/oficina Toluca
, Toluca De Lerdo, México",600,8,6,1250000,14,2083.3333333333335
12,"Casa en Venta Casa En Venta En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",330,4,4,290000,8,878.7878787878788
13,"Casa en Venta Venta De Casa Remodelada En La Colonia Morelos Toluca
, Morelos 1a Sección, Toluca De Lerdo",256,2,3,197500,5,771.484375
14,"Casa en Venta Casa En Venta Ideal Para Oficina En San Bernardino Toluca
, San Bernardino, Toluca De Lerdo",350,3,4,265000,7,757.1428571428571
15,"Casa en Venta Venta De Casa Con Terreno Excedente En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",350,3,4,225000,7,642.8571428571429
16,"Casa en Venta Venta De Casa En Cacalomacán Toluca
, Cacalomacan, Toluca De Lerdo",450,4,4,325000,8,722.2222222222222
17,"Casa en Venta Venta De Casa Sola En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",600,3,3,250000,6,416.6666666666667
18,"Casa en Venta Venta Casa Nueva Sola En Venta, A 5 Minutos De Central De Abastos Toluca, San Mateo Otzacatipan, Ejido
, San Mateo Otzacatipan, Toluca De Lerdo",262,2,2,117500,4,448.4732824427481
19,"Casa en Venta Casa En Venta En El Centro De Toluca Ideal Para Inversion
, Toluca De Lerdo, México",300,2,4,300000,6,1000
20,"Casa en Venta Venta De Casa De Una Sola Planta En San Mateo Oxtotitlán Toluca
, San Mateo Oxtotitlán, Toluca De Lerdo",159,1,3,110000,4,691.8238993710692
21,"Casa en Venta Casa En Venta En Centro Toluca
, Toluca De Lerdo, México",771,4,6,3050000,10,3955.9014267185476
22,"Casa en Venta Residencia En Venta Por Calle Colón Toluca
, Ciprés, Toluca De Lerdo",280,3,3,523000,6,1867.857142857143
23,"Casa en Venta Casa Venta Renta En El Centro De Toluca
, Toluca De Lerdo, México",492,3,3,625000,6,1270.3252032520325
24,"Casa en Venta Casa En Venta En El Centro De Toluca
, Toluca De Lerdo, México",287,2,4,187500,6,653.3101045296168
25,"Casa en Venta Venta De Casa En Capultitlán Toluca
, Toluca De Lerdo, México",324,3,7,215000,10,663.5802469135803
26,"Casa en Venta Venta De Casa En Residencial Colón Toluca
, Toluca De Lerdo, México",280,2,2,400000,4,1428.5714285714287
27,"Casa en Venta Venta De Casa En Colonia Independencia Toluca
, Toluca De Lerdo, México",315,2,4,217500,6,690.4761904761905
29,"Casa en Venta Venta De Casa En La Colonia Sanchez Toluca
, Toluca De Lerdo, México",353,2,4,225000,6,637.3937677053824
30,"Casa en Venta Venta De Quinta Familiar En San Pablo Autopan Estado De MÃ¨xico
, Toluca De Lerdo",189,2,3,134500,5,711.6402116402116
31,"Casa en Venta Casa Nueva En Venta En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",148,2,3,125000,5,844.5945945945946
32,"Casa en Venta Venta De Casa Nuieva En Fuentes De San Jose Toluca
, Toluca De Lerdo, México",250,3,3,156000,6,624
34,"Casa en Venta Venta De Casa En El Centro De Toluca
, Toluca De Lerdo, México",1690,3,4,1400000,7,828.4023668639053
35,"Casa en Venta Venta De Casa En Cacalomacán Centro Toluca
, Toluca De Lerdo, México",800,4,4,610000,8,762.5
36,"Casa en Venta Marie Curie 303, Toluca De Lerdo, México",189,4,3,282500,7,1494.7089947089946
37,"Casa en Venta Casa Nueva Oxotitlan
, Toluca De Lerdo, México",250,1,4,150000,5,600
38,"Casa en Venta Toluca De Lerdo, México",271,2,3,257500,5,950.1845018450184
39,"Casa en Venta Ignacio Zaragoza 102, Toluca De Lerdo, México",120,2,3,77500,5,645.8333333333334
40,"Casa en Venta Venta De Casa En Valle Don Camilo En La Calle Montes Altai, Toluca
, Toluca De Lerdo, México",209,2,4,170000,6,813.3971291866029
41,"Casa en Venta Venta De Casa En Toluca A Un Costado De La ProcuradurÃ­a
, Toluca De Lerdo, México",188,3,3,122500,6,651.5957446808511
42,"Casa en Venta Venta Rancho En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",400,5,4,500000,9,1250
45,"Casa en Venta Toluca De Lerdo, México",1046,4,4,1150000,8,1099.4263862332696
46,"Casa en Venta Casa En Venta En Galeana, Toluca Centro
, Toluca De Lerdo, México",380,4,6,700000,10,1842.1052631578948
47,"Casa en Venta Toluca De Lerdo, México",425,3,3,795000,6,1870.5882352941176
48,"Casa en Venta Venta De Casa En Colonia Ocho Cedros Toluca
, Toluca De Lerdo, México",237,7,8,155000,15,654.0084388185654
51,"Casa en Venta Venta De Casa En El Cerrillo Vista Hermosa Toluca
, Toluca De Lerdo, México",120,1,3,57500,4,479.1666666666667
53,"Casa en Venta Morelos Esquina Quintana Roo, Toluca De Lerdo, México",355,6,8,175000,14,492.9577464788732
